gene	P1_epi1	P1_epi2	P1_epi3	P1_fiber1	P1_fiber2	P1_fiber3	E18_epi1	E18_epi2	E18_epi3	E18_fiber1	E18_fiber2	E18_fiber3	E16_epi1	E16_epi2	E16_epi3	E16_fiber1	E16_fiber2	E16_fiber3	E14_epi1	E14_epi2	E14_epi3	E14_fiber1	E14_fiber2	E14_fiber3
Ganc	3.04106	2.77923	3.01389	2.26793	2.52826	2.13733	3.43303	3.11601	2.4882	2.46975	1.90242	1.99183	2.92403	3.22633	3.37441	2.75672	2.77464	2.66792	2.06811	2.90732	2.67146	3.00977	2.75672	3.10412
Gap43	3.39572	5.94697	2.66602	0	0.336554	0.0880103	3.51957	4.60475	8.49562	0.211953	0.22886	0.381889	0.948715	0.636022	1.30887	0.649985	0.677258	1.2234	0.868431	1.18525	0.896427	0.604934	0.346122	0.540115
Gapdh	0.590279	0.645104	0.944378	3.34835	2.13688	3.42653	1.43206	1.27396	0.571454	3.47423	3.05211	4.36967	0.748927	1.62867	1.04064	1.66311	2.16712	2.50989	0.973086	1.42603	1.15752	1.24227	1.7771	1.34087
Gapvd1	11.6105	10.61	11.333	10.8194	10.941	9.96309	13.2921	12.8201	12.5433	10.972	10.6061	10.9563	13.223	14.0605	13.8976	11.8169	11.6414	12.3969	16.0181	15.0832	15.5346	12.7104	12.9836	12.8014
Gar1	10.7146	10.8805	9.6201	3.92377	4.70749	6.24384	9.30422	12.7755	10.3867	4.28498	4.47364	5.43099	14.4216	11.015	11.5357	6.10378	7.48837	6.14471	15.0472	13.4331	13.7917	5.48234	5.16904	5.48245
Garem1	5.27816	5.20453	4.87674	3.89119	3.80182	3.43112	4.99591	4.77415	4.85133	3.00786	3.60705	2.90216	4.49974	4.40056	4.64689	2.86431	2.26602	3.51143	3.79727	4.04187	4.06654	3.34023	3.08606	3.2603
Garnl3	2.33833	2.3627	2.2791	2.58483	2.87623	2.60484	2.23284	2.89363	2.41785	3.07857	3.18333	2.39456	1.74126	1.72597	1.70099	2.62893	3.06267	2.93491	1.84298	1.85379	1.96447	2.14637	2.69212	2.15351
Gars	20.7043	19.633	22.6229	99.3302	104.704	91.3687	23.8002	22.0621	22.5361	93.9872	88.3434	88.2552	30.7876	29.1161	27.7822	95.8463	98.5492	99.6547	39.1351	32.4278	36.8214	75.3995	85.4672	82.312
Gart	11.3165	13.4149	15.3453	17.8046	17.6842	20.9615	14.2838	14.9771	12.1056	20.4194	17.8871	18.7182	18.0767	17.979	19.9583	21.3845	20.8809	21.9891	22.6834	20.8401	25.1795	23.2343	22.602	23.9173
Gas1	22.1045	21.1795	17.6419	1.56728	2.07763	1.94346	33.6469	30.7847	35.129	2.04557	2.91503	1.57662	6.1411	7.35664	8.51052	1.43088	1.66601	1.43714	6.39298	7.75711	7.96389	1.52964	1.46646	1.48005
Gas2	2.83475	2.65362	3.06532	2.50234	2.37678	1.94363	1.88325	1.80792	2.33728	2.6269	1.97092	2.17697	1.86224	2.3845	2.7109	2.60997	3.27798	3.08534	3.28132	3.19776	3.12645	3.47301	2.54212	2.97442
Gas2l1	3.15426	2.64488	3.02636	2.11044	1.83151	1.58952	3.24505	3.48466	2.73715	1.65948	1.39091	2.20602	2.79925	3.51964	2.97826	1.7105	1.86099	1.91776	2.75146	3.78361	3.79722	1.9658	2.12509	1.51699
Gas2l3	3.5851	3.08859	3.07984	0.178844	0.245685	0.191495	3.72835	3.61018	4.35623	0.190369	0.0940434	0.149691	3.27037	3.28438	3.35183	0.278138	0.196281	0.237089	5.86229	4.67306	5.54132	0.415414	0.303368	0.345881
Gas5	32.9538	29.1162	40.4552	36.3743	39.6409	48.2585	48.3798	52.3938	47.563	46.9632	43.8233	54.1698	55.4327	44.109	46.7872	50.2058	45.0475	44.2065	63.1588	51.4802	48.6864	53.1664	48.4205	67.2256
Gas6	18.2253	17.8237	20.0073	52.7475	53.5424	55.4219	14.4078	14.452	15.6671	47.6624	54.1473	50.6821	10.5676	11.0734	12.1594	29.8878	27.6871	33.8415	4.70675	6.14964	5.17182	21.0662	21.6714	18.3555
Gas7	21.6899	18.6539	25.7082	68.6034	64.7471	76.961	20.4013	20.5528	18.9474	67.0223	65.7904	66.1616	18.3563	17.4359	17.1172	49.8302	49.1594	56.6302	11.7628	12.8719	12.1146	38.7362	43.6468	39.999
Gas8	6.86149	7.24109	7.66098	8.12529	6.8318	7.38735	8.18624	7.2218	5.92296	7.04574	7.52239	7.14719	8.59225	8.25996	7.69744	7.84131	8.64963	7.5533	9.73243	8.28433	7.75883	9.87393	8.86029	11.8695
Gast	0.255465	0.254027	0	1.0084	1.19202	1.13079	0.285983	0.622705	0	2.06821	2.11008	1.07472	0.353117	0	0	2.71191	2.26762	1.64277	0	0.387701	0	0.316677	1.37281	0.39818
Gata3	8.12425	7.68091	9.7791	11.8337	11.3622	13.1284	9.2307	7.55448	7.1443	12.4999	10.7572	13.4457	14.9444	14.9647	14.4551	13.9337	14.2069	15.2089	10.744	11.4842	9.67	14.0964	15.1862	13.7553
Gatad1	19.0402	21.099	25.4225	47.0522	44.8005	55.8938	22.7965	22.2579	21.4323	56.0594	49.0336	48.4538	23.3987	23.1745	27.2727	49.1254	44.9471	48.5041	24.2601	24.502	25.6029	43.0369	48.5693	43.3764
