gene	group1	group3	group4	group5	na_count
Hnrnpm	RBP	mRNA binding	mRNA processing	NA	1
Magoh	RBP	mRNA binding	mRNA processing	NA	1
Nono	RBP	mRNA binding	mRNA processing	NA	1
Ncbp2	RBP	mRNA binding	mRNA processing	NA	1
Pabpc1	RBP	mRNA binding	mRNA processing	NA	1
Puf60	RBP	mRNA binding	mRNA processing	NA	1
Ptbp1	RBP	mRNA binding	mRNA processing	NA	1
Ptbp3	RBP	mRNA binding	mRNA processing	NA	1
Srrm1	RBP	mRNA binding	mRNA processing	NA	1
Srsf2	RBP	mRNA binding	mRNA processing	NA	1
Srsf5	RBP	mRNA binding	mRNA processing	NA	1
Srsf6	RBP	mRNA binding	mRNA processing	NA	1
Srsf9	RBP	mRNA binding	mRNA processing	NA	1
Sf3a1	RBP	mRNA binding	mRNA processing	NA	1
Sf3b4	RBP	mRNA binding	mRNA processing	NA	1
Syncrip	RBP	mRNA binding	mRNA processing	NA	1
Zranb2	RBP	mRNA binding	mRNA processing	NA	1
Tdrd7	RBP	mRNA binding	mRNA processing	NA	1
Srsf10	RBP	NA	NA	NA	3
Srsf6	RBP	NA	NA	NA	3
Celf1	RBP	pre-mRNA binding	splicing	NA	1
Ddx39b	RBP	pre-mRNA binding	splicing	NA	1
Khsrp	RBP	pre-mRNA binding	splicing	NA	1
Lsm2	RBP	pre-mRNA binding	splicing	NA	1
Lsm3	RBP	pre-mRNA binding	splicing	NA	1
Lsm5	RBP	pre-mRNA binding	splicing	NA	1
Lsm8	RBP	pre-mRNA binding	splicing	NA	1
Nhp2l1	RBP	pre-mRNA binding	splicing	NA	1
Rbm8a	RBP	pre-mRNA binding	splicing	NA	1
Rbmx	RBP	pre-mRNA binding	splicing	NA	1
Rbmxl1	RBP	pre-mRNA binding	splicing	NA	1
Rnps1	RBP	pre-mRNA binding	splicing	NA	1
U2af1	RBP	pre-mRNA binding	splicing	NA	1
U2af2	RBP	pre-mRNA binding	splicing	NA	1
Ybx1	RBP	pre-mRNA binding	splicing	NA	1
Cdc5l	RBP	pre-mRNA binding	splicing	NA	1
Eif4a3	RBP	pre-mRNA binding	splicing	NA	1
Fmr1	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpa1	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpa2b1	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpa3	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpc	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpf	RBP	pre-mRNA binding	splicing	NA	1
Hnrnph1	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpk	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpm	RBP	pre-mRNA binding	splicing	NA	1
Magoh	RBP	pre-mRNA binding	splicing	NA	1
Nono	RBP	pre-mRNA binding	splicing	NA	1
Ncbp2	RBP	pre-mRNA binding	splicing	NA	1
Pspc1	RBP	pre-mRNA binding	splicing	NA	1
Pabpc1	RBP	pre-mRNA binding	splicing	NA	1
Puf60	RBP	pre-mRNA binding	splicing	NA	1
Ptbp1	RBP	pre-mRNA binding	splicing	NA	1
Ptbp3	RBP	pre-mRNA binding	splicing	NA	1
Prpf31	RBP	pre-mRNA binding	splicing	NA	1
Prpf8	RBP	pre-mRNA binding	splicing	NA	1
Srsf10	RBP	pre-mRNA binding	splicing	NA	1
Srsf2	RBP	pre-mRNA binding	splicing	NA	1
Srsf5	RBP	pre-mRNA binding	splicing	NA	1
Srsf6	RBP	pre-mRNA binding	splicing	NA	1
Srsf9	RBP	pre-mRNA binding	splicing	NA	1
Snrnp70	RBP	pre-mRNA binding	splicing	NA	1
Snrpa1	RBP	pre-mRNA binding	splicing	NA	1
Snrpb2	RBP	pre-mRNA binding	splicing	NA	1
Snrpc	RBP	pre-mRNA binding	splicing	NA	1
Sf1	RBP	pre-mRNA binding	splicing	NA	1
Sf3b6	RBP	pre-mRNA binding	splicing	NA	1
Sf3a1	RBP	pre-mRNA binding	splicing	NA	1
Sf3b1	RBP	pre-mRNA binding	splicing	NA	1
Sf3b4	RBP	pre-mRNA binding	splicing	NA	1
Sf3b5	RBP	pre-mRNA binding	splicing	NA	1
Sart3	RBP	pre-mRNA binding	splicing	NA	1
Syncrip	RBP	pre-mRNA binding	splicing	NA	1
Zranb2	RBP	pre-mRNA binding	splicing	NA	1
Raly	RBP	pre-mRNA binding	splicing	NA	1
Dazap1	RBP	pre-mRNA binding	splicing	NA	1
Snu13	RBP	pre-mRNA binding	splicing	NA	1
Srsf3	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpll	RBP	pre-mRNA binding	splicing	NA	1
Son	RBP	pre-mRNA binding	splicing	NA	1
Srrm1	RBP	pre-mRNA binding	splicing	NA	1
Qk	RBP	pre-mRNA binding	splicing	NA	1
Npm1	RBP	pre-mRNA binding	splicing	NA	1
Srsf1	RBP	pre-mRNA binding	splicing	NA	1
Srsf7	RBP	pre-mRNA binding	splicing	NA	1
Ddx3x	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpl	RBP	pre-mRNA binding	splicing	NA	1
Sfpq	RBP	pre-mRNA binding	splicing	NA	1
Ddx5	RBP	pre-mRNA binding	splicing	NA	1
Snrpd3	RBP	pre-mRNA binding	splicing	NA	1
Khdrbs1	RBP	pre-mRNA binding	splicing	NA	1
Snrpe	RBP	pre-mRNA binding	splicing	NA	1
Magohb	RBP	pre-mRNA binding	splicing	NA	1
Ddx1	RBP	pre-mRNA binding	splicing	NA	1
Rbm39	RBP	pre-mRNA binding	splicing	NA	1
Ppie	RBP	pre-mRNA binding	splicing	NA	1
Ddx17	RBP	pre-mRNA binding	splicing	NA	1
Larp4	RBP	mRNA binding	mRNA stability	NA	1
Fam120a	RBP	mRNA binding	mRNA stability	NA	1
Pcbp4	RBP	mRNA binding	mRNA stability	NA	1
Larp1	RBP	mRNA binding	mRNA stability	NA	1
Celf1	RBP	mRNA binding	mRNA stability	NA	1
Carhsp1	RBP	mRNA binding	mRNA stability	NA	1
Serbp1	RBP	mRNA binding	mRNA stability	NA	1
Pcbp1	RBP	mRNA binding	mRNA stability	NA	1
Pcbp2	RBP	mRNA binding	mRNA stability	NA	1
Fxr1	RBP	mRNA binding	mRNA stability	NA	1
Igf2bp3	RBP	mRNA binding	mRNA stability	NA	1
Matr3	RBP	mRNA binding	mRNA stability	NA	1
Cryz	RBP	mRNA binding	mRNA stability	NA	1
Hnrnpm	RBP	mRNA binding	mRNA stability	NA	1
Ssb	RBP	mRNA binding	mRNA stability	NA	1
Igf2bp2	RBP	mRNA binding	mRNA stability	NA	1
Hdlbp	RBP	mRNA binding	mRNA stability	NA	1
Myef2	RBP	mRNA binding	mRNA stability	NA	1
Aco1	RBP	mRNA binding	mRNA stability	NA	1
Ilf3	RBP	mRNA binding	mRNA stability	NA	1
Hnrnpd	RBP	mRNA binding	mRNA stability	NA	1
Dazap1	RBP	NA	NA	NA	3
Rnmt	RBP	NA	NA	NA	3
Rnps1	RBP	NA	NA	NA	3
Acin1	RBP	NA	NA	NA	3
Fip1l1	RBP	NA	NA	NA	3
Magohb	RBP	NA	NA	NA	3
Magoh	RBP	NA	NA	NA	3
Msi1	RBP	NA	NA	NA	3
Pabpc6	RBP	NA	NA	NA	3
Pabpn1	RBP	NA	NA	NA	3
Srrm1	RBP	NA	NA	NA	3
Khsrp	RBP	mRNA binding	mRNA transport	NA	1
Rbm8a	RBP	mRNA binding	mRNA transport	NA	1
Eif4a3	RBP	mRNA binding	mRNA transport	NA	1
Xpo1	RBP	mRNA binding	mRNA transport	NA	1
Fmr1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpa1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpa3	RBP	mRNA binding	mRNA transport	NA	1
Igf2bp1	RBP	mRNA binding	mRNA transport	NA	1
Lrpprc	RBP	mRNA binding	mRNA transport	NA	1
Magoh	RBP	mRNA binding	mRNA transport	NA	1
Ncbp2	RBP	mRNA binding	mRNA transport	NA	1
Caprin2	RBP	mRNA binding	mRNA transport	NA	1
Upf1	RBP	mRNA binding	mRNA transport	NA	1
Ewsr1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpul1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpu	RBP	mRNA binding	mRNA transport	NA	1
Ybx1	RBP	mRNA binding	mRNA transport	NA	1
Srsf7	RBP	mRNA binding	mRNA transport	NA	1
Rtraf	RBP	mRNA binding	mRNA transport	NA	1
Syncrip	RBP	mRNA binding	mRNA transport	NA	1
Ddx3x	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpl	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpf	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpdl	RBP	mRNA binding	mRNA transport	NA	1
Igf2bp3	RBP	mRNA binding	mRNA transport	NA	1
Pabpn1	RBP	mRNA binding	mRNA transport	NA	1
Khdrbs1	RBP	mRNA binding	mRNA transport	NA	1
Igf2bp2	RBP	mRNA binding	mRNA transport	NA	1
Rnps1	RBP	mRNA binding	mRNA transport	NA	1
Hdlbp	RBP	mRNA binding	mRNA transport	NA	1
Ilf3	RBP	mRNA binding	mRNA transport	NA	1
Srp19	RBP	mRNA binding	mRNA transport	NA	1
Exosc4	RBP	NA	NA	NA	3
Nhp2	RBP	NA	NA	NA	3
Xpo1	RBP	NA	NA	NA	3
Safb	RBP	NA	NA	NA	3
Trove2 (official: Ro60)	RBP	NA	NA	NA	3
U2af2	RBP	NA	NA	NA	3
Hnrnpk	RBP	NA	NA	NA	3
Pcbp4	RBP	NA	NA	NA	3
Ptbp3	RBP	NA	NA	NA	3
Srsf7	RBP	NA	NA	NA	3
Srsf9	RBP	NA	NA	NA	3
Ddx3x	RBP	mRNA binding	Translation	NA	1
Fxr1	RBP	mRNA binding	Translation	NA	1
Caprin1	RBP	mRNA binding	Translation	NA	1
Cirbp	RBP	mRNA binding	Translation	NA	1
Eif4a3	RBP	mRNA binding	Translation	NA	1
Eif4e	RBP	mRNA binding	Translation	NA	1
Fmr1	RBP	mRNA binding	Translation	NA	1
Eprs	RBP	mRNA binding	Translation	NA	1
Gapdh	RBP	mRNA binding	Translation	NA	1
Igf2bp1	RBP	mRNA binding	Translation	NA	1
Ilf3	RBP	mRNA binding	Translation	NA	1
Rps3	RBP	mRNA binding	Translation	NA	1
Syncrip	RBP	mRNA binding	Translation	NA	1
Fxr1	RBP	mRNA binding	Translation	translational regulation	0
Caprin1	RBP	mRNA binding	Translation	translational regulation	0
Cirbp	RBP	mRNA binding	Translation	translational regulation	0
Eif4a3	RBP	mRNA binding	Translation	translational regulation	0
Fmr1	RBP	mRNA binding	Translation	translational regulation	0
Eprs	RBP	mRNA binding	Translation	translational regulation	0
Gapdh	RBP	mRNA binding	Translation	translational regulation	0
Igf2bp1	RBP	mRNA binding	Translation	translational regulation	0
Ilf3	RBP	mRNA binding	Translation	translational regulation	0
Rps3	RBP	mRNA binding	Translation	translational regulation	0
Syncrip	RBP	mRNA binding	Translation	translational regulation	0
Eif4a3	RBP	mRNA binding	mRNA degradation	NA	1
Rbm8a	RBP	mRNA binding	mRNA degradation	NA	1
Rnps1	RBP	mRNA binding	mRNA degradation	NA	1
Magoh	RBP	mRNA binding	mRNA degradation	NA	1
Ncbp2	RBP	mRNA binding	mRNA degradation	NA	1
Lsm5	RBP	mRNA binding	mRNA degradation	NA	1
Csde1	RBP	mRNA binding	mRNA degradation	NA	1
Exosc4	RBP	mRNA binding	mRNA degradation	NA	1
Magohb	RBP	mRNA binding	mRNA degradation	NA	1
Ptbp1	RBP	mRNA binding	mRNA degradation	NA	1
Prkra	RBP	mRNA binding	Stress response	NA	1
Fam120a	RBP	mRNA binding	Stress response	NA	1
Tdrd7	RBP	mRNA binding	mRNA sequestration	NA	1
Ddx1	RBP	mRNA binding	NA	NA	2
Ddx3x	RBP	mRNA binding	NA	NA	2
Khdrbs1	RBP	mRNA binding	NA	NA	2
Hnrnpdl	RBP	mRNA binding	NA	NA	2
Pabpc6	RBP	mRNA binding	NA	NA	2
Syncrip	RBP	mRNA binding	NA	NA	2
Pabpn1	RBP	mRNA binding	NA	NA	2
Dazap1	RBP	mRNA binding	NA	NA	2
Ddx17	RBP	mRNA binding	NA	NA	2
Ddx42	RBP	mRNA binding	NA	NA	2
Ddx5	RBP	mRNA binding	NA	NA	2
Ddx6	RBP	mRNA binding	NA	NA	2
Dhx36	RBP	mRNA binding	NA	NA	2
Ddx21	RBP	mRNA binding	NA	NA	2
Ddx39b	RBP	mRNA binding	NA	NA	2
Ewsr1	RBP	mRNA binding	NA	NA	2
Lsm2	RBP	mRNA binding	NA	NA	2
Lsm3	RBP	mRNA binding	NA	NA	2
Lsm8	RBP	mRNA binding	NA	NA	2
Larp1	RBP	mRNA binding	NA	NA	2
Larp4	RBP	mRNA binding	NA	NA	2
Larp4b	RBP	mRNA binding	NA	NA	2
Nhp2l1	RBP	mRNA binding	NA	NA	2
Nhp2	RBP	mRNA binding	NA	NA	2
Nsun2	RBP	mRNA binding	NA	NA	2
Raly	RBP	mRNA binding	NA	NA	2
Rbm3	RBP	mRNA binding	NA	NA	2
